entity1,entity2,count
Çanakkale Boğazı,İstanbul Boğazı,4
Kerkük,Musul,4
Avrupa,Avusturya,4
Hollanda,İspanya,4
Azerbaycan,Bağdat,4
Osmanlı,Türk,4
Fransa,Polonya,4
Bursa,Osman Gazi,4
Rusya,İsveç,4
Basra,Bağdat,4
Türkistan,İran,4
Bulgaristan,Türkiye,4
Avusturya,Viyana,4
Avrupa,İstanbul,4
Bulgaristan,Karadağ,4
Türkistan,Çin,4
Bursa,Halil İnalcık,4
Bulgaristan,Yugoslavya,4
Japonya,Mançurya,4
Kars,Rusya,4
Hükûmeti,İstanbul,4
Hacı Bektaş Veli,Mevlana Celaleddin Rumi,4
Küçük Kaynarca Antlaşması ',Osmanlı Devleti,4
Azerbaycan,Osmanlı Devleti,3
Karlofça Antlaşması,Osmanlı Devleti,3
Yugoslavya,İngiltere,3
Anadolu,Kafkasya,3
Azerbaycan,Dağlık Karabağ,3
Fransa,İsveç,3
Fransa,Üçlü İtilaf,3
Fransa,Kırım Savaşı,3
Azerbaycan,Revan,3
Azerbaycan,SSCB,3
Akdeniz,İstanbul,3
Papalık,İspanya,3
Bizans,İstanbul,3
Danimarka,Fransa,3
Islahat Fermanı,Tanzimat Fermanı,3
Bizans,Bursa,3
Hareket Ordusu,İstanbul,3
Osmanlı Devleti,Panslavizm,3
Fransa,Fransız İhtilali ',3
Osmanlı Devleti,Paris Barış Konferansı,3
Kars,Türkiye,3
Afganistan,El Kaide,3
Diyarbakır,Sivas,3
Azerbaycan,Türkmenistan,3
Azerbaycan,Özbekistan,3
Kars,Sovyet Rusya,3
Azerbaycan,Kırgızistan,3
Maarif Kongresi,Mustafa Kemal,3
Azerbaycan,Safevi,3
Bizans,Osmanlı,3
Bizans,Orhan Gazi,3
Bizans,Selçuklu,3
Edirne,Üsküp,3
Basra,Van,3
Azerbaycan,Kazakistan,3
Marco Polo,Marko Polo,3
Antalya,Konya,3
Edirne,Osmanlı,3
Kars,Osmanlı Devleti,3
Akdeniz,İspanya,3
Cumhuriyet,Dönemi,3
Akdeniz,Kıbrıs,3
Metropolitan Art Museum,New York,3
Horasan,Türkistan,3
Horasan,İran,3
Libya,Mısır,3
Lehistan,Rus,3
Lehistan,Ukrayna,3
Lehistan,Polonya,3
Amerika,SSCB,3
Kürk Yolu,İpek Yolu,3
Bitlis,Diyarbakır,3
Baharat Yolu,İpek Yolu,3
Ankara Savaşı,Osmanlı Devleti,3
Ege Denizi,Türkiye,3
Ankara Savaşı,Yıldırım Bayezid,3
Halep,Mısır,3
Avrupa,Mezopotamya,3
Avrupa,Mısır,3
Ankara,İtilaf Devletleri,3
Hacı Bektaş Veli,Mevlana,3
Amerika,Portekiz,3
Amerika,İspanya,3
Ankara,Eskişehir,3
Amerika,Kolomb,3
Avrupa,Doğu Avrupa,3
Hacı Bektaş Veli,Hoca Ahmed Yesevi,3
Bulgaristan,Rusya,3
Bursa,Orhan Bey,3
Bulgaristan,Edirne,3
Boğaz,İstanbul,3
Bayezid,Timur,3
Avrupa,Venedik,3
Bayezid,Osmanlı Devleti,3
Irak,Sadabat Paktı,3
Dünya Savaşı,Fransa,3
Ürdün,İsrail,3
Dünya Savaşı,Mustafa Kemal,3
Dünya Savaşı,İtilaf Devletleri,3
Irak,Ürdün,3
Bucaş Antlaşması,Lehistan,3
Bağdat,Mısır,3
Macaristan,Romanya,3
Macaristan,Osmanlı İmparatorluğu,3
Macaristan,Polonya,3
Macaristan,İspanya,3
Nişabur,Rey,3
Karadeniz,Venedik,3
Merv,Nişabur,3
Kosova Savaşı,Osmanlı Devleti,3
Antakya,İskenderun,3
Eflak,Osmanlı,3
Eflak,Rusya,3
Polonya,SSCB,3
Balkan,Edirne,3
Karahanlı,Selçuklu,3
